,LHF,SHF
2019-07-29 23:30:00,-0.6209135563421404,3.2261120220310997
2019-07-30 00:00:00,-1.55832665502443,6.378545675895921
2019-07-30 00:30:00,-0.4459563926589316,4.96890557137784
2019-07-30 01:00:00,-0.20619502492536443,3.9096937349253817
2019-07-30 01:30:00,0.28785789129997535,5.267800184076696
2019-07-30 02:00:00,-0.589994949966735,7.204567293599191
2019-07-30 02:30:00,0.32513101967480507,4.426449892650694
2019-07-30 03:00:00,-0.6564914331547279,5.9937868583278435
2019-07-30 03:30:00,-0.5858606704299824,7.039376566085131
2019-07-30 04:00:00,-1.174568306704366,9.537147583442351
2019-07-30 04:30:00,-0.5532841638091869,8.290812671497283
2019-07-30 05:00:00,-0.7472572567232997,6.958845728649875
2019-07-30 05:30:00,1.0638205760858015,9.137372412548991
2019-07-30 06:00:00,1.5074770986392068,9.31730156510695
2019-07-30 06:30:00,4.2169474050343245,11.854457302019652
2019-07-30 07:00:00,3.8047189306639466,5.83744872870757
2019-07-30 07:30:00,0.18673935257832766,1.0858524233664302
2019-07-30 08:00:00,-0.17139968636825662,0.5045562097243412
2019-07-30 08:30:00,-0.6393823186103953,2.1469853820000884
2019-07-30 09:00:00,-1.7758054809930435,0.7661043818428265
2019-07-30 09:30:00,-1.9780785196772055,-0.6556608471976524
2019-07-30 10:00:00,-2.5944377824049547,-1.4235409884602739
2019-07-30 10:30:00,-1.85314685499304,-2.012755103990131
2019-07-30 11:00:00,-4.090734469700377,-2.8437593485437263
2019-07-30 11:30:00,-4.676999848611796,-1.716051300858363
2019-07-30 12:00:00,-7.373276072015186,-3.4762324061982968
2019-07-30 12:30:00,-8.024672638484049,-2.519746861718858
2019-07-30 13:00:00,-6.603047001208901,2.8828190574121937
2019-07-30 13:30:00,-5.877708496417739,0.5008714246190362
2019-07-30 14:00:00,-7.241274887768612,-2.1928624407865516
2019-07-30 14:30:00,-6.364040642043261,-2.91107944926445
2019-07-30 15:00:00,-8.069039524203758,-1.0780337698203164
2019-07-30 15:30:00,-6.256232566149127,-0.6517593407855079
2019-07-30 16:00:00,-6.224695615502248,-0.6544789634369949
2019-07-30 16:30:00,-4.2425269581763585,-0.616428477685
2019-07-30 17:00:00,-1.7099960896567843,-0.35861792003327003
2019-07-30 17:30:00,-2.0006953136209,-0.6588821079495546
2019-07-30 18:00:00,-4.052500050227408,-0.07144103274378757
2019-07-30 18:30:00,-4.544370351562972,-0.046018608267877306
2019-07-30 19:00:00,-4.744266524308793,-0.49594305042835024
2019-07-30 19:30:00,-3.9867702171465074,0.9448418598406046
2019-07-30 20:00:00,-3.340520723806726,-1.252143462802501
2019-07-30 20:30:00,-1.6149427285925388,-1.3848034095755106
2019-07-30 21:00:00,-2.132403910005621,-0.3643846560173609
2019-07-30 21:30:00,-1.6115738881018675,3.4694012499159705
2019-07-30 22:00:00,-2.3858198735775358,7.554713111625471
2019-07-30 22:30:00,3.8826192789941563,10.864299922194453
2019-07-30 23:00:00,5.2090790407911465,12.061564219576125
2019-07-30 23:30:00,6.537162925612172,14.781370320113366
2019-07-31 00:00:00,5.016064403129563,8.753829336574555
2019-07-31 00:30:00,1.3584397824497498,6.517923568561302
2019-07-31 01:00:00,3.2813202279952405,1.7543279516160797
2019-07-31 01:30:00,,1.0757355619773041
2019-07-31 02:00:00,,-1.5254049027025944
2019-07-31 02:30:00,0.44746189707742884,0.6417390023579918
2019-07-31 03:00:00,-0.25010364119868583,1.131506238632073
2019-07-31 03:30:00,1.4932017364842285,0.9263697493595504
2019-07-31 04:00:00,0.010404653760219507,2.8436311568799457
